id,city,url,lat,lng,Service Category,Services Provided
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,Driver's licences,Renew a driver's licence
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,Driver's licences,Change address on a driver's licence
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,Driver's licences,Replace a driver's licence
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,Driver's licences,Retake a driver's licence photo
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,Driver's licences,Reinstate a driver's licence
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,Driver's licences,Pay defaulted driver fines
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,Driver's licences,Renew or replace a driving instructor licence
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,Driver's licences,Change information on a driver's licence
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,Driver's licences,Convert an enhanced driver's licence to a regular driver's licence
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,"Vehicle permits, plates and stickers",Register a vehicle
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,"Vehicle permits, plates and stickers",Licence plate renewal
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,"Vehicle permits, plates and stickers",Get a temporary licence plate sticker
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,"Vehicle permits, plates and stickers",Change address on a vehicle permit
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,"Vehicle permits, plates and stickers",Change name on a vehicle permit
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,"Vehicle permits, plates and stickers",Change status of a vehicle permit
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,Photo card,Get an Ontario photo card
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,"Vehicle permits, plates and stickers",Replace a vehicle permit
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,Accessible parking permit,Get an accessible parking permit
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,"Vehicle permits, plates and stickers",Replace a licence plate
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,Organ and tissue donation,Register to be an organ and tissue donor
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,"Vehicle permits, plates and stickers",Order a personalized licence plate
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,"Vehicle permits, plates and stickers",Replace a personalized licence plate
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,Health card and insurance (OHIP),Switch to a photo health card
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,"Vehicle permits, plates and stickers",Buy a licence plate with graphic
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,Health card and insurance (OHIP),Apply for a health card
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,"Vehicle permits, plates and stickers",Order a sample personalized licence plate
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,Accessible parking permit,Change information on an accessible parking permit
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,"Vehicle permits, plates and stickers",Order a French slogan licence plate
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,"Vehicle permits, plates and stickers",Buy a personalized licence plate gift certificate
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,Photo card,Renew an Ontario Photo Card
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,"Vehicle permits, plates and stickers",Get a dealer or service licence plate and permit
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,"Vehicle permits, plates and stickers",Get or replace an off-road vehicle permit
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,Photo card,Change information on an Ontario photo card
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,"Vehicle permits, plates and stickers",Get or replace an off-road vehicle licence plate
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,Health card and insurance (OHIP),Renew a health card
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,"Vehicle permits, plates and stickers",Get or replace a snow vehicle permit
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,Accessible parking permit,Renew or replace an accessible parking permit
11767,Englehart,/locations/serviceontario/4th-and-3rd-englehart,47.825504,-79.87275,"Vehicle permits, plates and stickers",Get a snow vehicle validation sticker
